time;latitude;longitude;depth;mag;updated;magNst
2018-09-15T03:51:16.800Z;26.6719;129.5944;10;4.6;2018-11-21T18:19:16.040Z;18
2018-09-20T14:57:26.760Z;26.6747;129.6597;10;4.7;2018-11-27T15:52:00.040Z;14
2018-09-15T04:54:38.150Z;26.6796;129.6362;10;4.9;2018-11-21T18:19:12.040Z;143
2018-09-15T08:05:29.100Z;26.6827;129.6017;10;5.7;2018-11-21T18:19:12.040Z;44
2018-09-15T13:34:02.330Z;26.6846;129.5989;10;4.6;2018-11-21T18:19:16.040Z;17
2014-10-05T08:11:37.620Z;26.6871;129.7593;21.14;4.6;2014-12-23T01:42:03.040Z;44
2018-09-18T06:25:54.310Z;26.6887;129.6347;10;4.6;2018-11-27T15:52:04.040Z;14
2018-09-15T15:37:59.560Z;26.6904;129.6387;10.15;5.2;2018-11-21T18:19:12.040Z;24
2018-09-15T04:14:35.200Z;26.6969;129.6547;10;4.9;2018-11-21T18:19:12.040Z;198
2018-09-15T04:40:19.690Z;26.6974;129.5594;10;5.4;2018-11-21T18:19:12.040Z;34
2018-05-10T23:34:59.080Z;26.7001;128.2367;31.37;4.5;2018-08-08T15:22:27.040Z;33
2018-09-16T10:52:37.540Z;26.7024;129.5769;10;4.8;2018-11-21T18:19:17.040Z;33
2013-05-04T12:12:07.210Z;26.705;129.521;27.8;4.5;2014-11-07T01:50:44.554Z;14
2018-09-15T01:41:55.490Z;26.7059;129.6128;10;4.6;2018-11-21T18:19:16.040Z;14
2007-05-15T11:27:18.830Z;26.707;129.5875;368.7;5.4;2014-11-07T01:32:28.289Z;
2018-09-17T02:32:09.890Z;26.7095;129.7013;10;5;2018-11-27T15:51:57.040Z;171
2004-02-23T15:19:14.760Z;26.71;129.531;38.9;4.7;2014-11-07T01:21:24.994Z;4
2018-09-15T18:34:35.370Z;26.7178;129.5933;10;4.6;2018-11-21T18:19:16.040Z;8
2017-06-19T20:32:25.980Z;26.7191;129.6241;10;4.8;2017-08-23T16:35:45.040Z;68
2007-10-17T10:58:45.100Z;26.72;128.539;44.2;5.4;2016-11-10T01:47:03.003Z;
2018-10-05T01:05:32.340Z;26.7298;129.5792;10;4.5;2018-11-06T23:44:03.040Z;6
2018-09-15T00:08:21.430Z;26.7302;129.6429;9.32;5.7;2018-11-21T18:19:11.040Z;37
2018-09-20T23:06:02.840Z;26.7341;129.6486;10;4.6;2018-11-27T15:52:01.040Z;31
2018-09-15T08:05:12.710Z;26.7366;129.4978;10;5.1;2018-11-21T18:19:16.040Z;30
2018-09-15T13:53:38.730Z;26.7462;129.7372;10;4.9;2018-11-21T18:19:12.040Z;12
2018-09-15T01:48:29.130Z;26.7476;129.5933;10;4.8;2018-11-21T18:19:11.040Z;50
2018-10-01T15:07:11.250Z;26.7516;129.7105;10;4.7;2018-10-09T20:58:24.040Z;14
2014-10-19T19:09:52.530Z;26.7621;129.6226;28.75;4.8;2015-01-15T20:03:34.040Z;36
2018-09-15T05:38:38.210Z;26.774;129.6812;10;4.7;2018-11-21T18:19:12.040Z;57
2014-10-01T18:06:58.960Z;26.7797;129.9067;32.26;4.6;2014-12-23T01:41:57.040Z;8
2018-09-18T10:35:19.830Z;26.7882;129.7743;10;4.6;2018-11-27T15:52:04.040Z;33
2018-09-27T11:45:52.930Z;26.7884;129.7;10;4.6;2018-10-31T10:19:03.040Z;18
2018-02-06T03:06:14.890Z;26.8275;129.4155;26.91;4.8;2018-05-03T22:14:59.040Z;93
2017-07-26T11:42:38.590Z;26.8467;130.1805;10;4.6;2017-10-14T00:19:41.040Z;7
2016-06-13T06:54:56.620Z;26.8655;130.1395;10;4.5;2016-08-25T01:22:53.040Z;11
2014-07-02T19:24:47.660Z;26.8767;130.0221;27.38;4.9;2014-10-04T19:59:51.000Z;178
2017-07-26T13:27:48.180Z;26.8778;130.17;10;4.6;2017-10-14T00:19:41.040Z;36
2004-11-08T10:03:07.470Z;26.884;129.902;52.5;5;2014-11-07T01:23:57.279Z;
2016-07-11T05:10:42.140Z;26.8875;130.2644;10;5;2016-09-08T01:50:27.040Z;212
2014-03-13T23:12:55.490Z;26.8934;127.2226;521.36;4.8;2014-05-16T21:51:39.000Z;233
2014-01-28T11:49:11.630Z;26.8972;127.0755;99.81;5.1;2015-01-29T01:50:54.338Z;146
2017-07-26T10:32:57.430Z;26.8975;130.1836;12;6;2017-10-14T00:19:41.040Z;46
2017-08-15T20:29:15.160Z;26.906;130.1662;10;4.9;2017-11-14T01:42:09.040Z;131
2010-02-20T05:09:04.250Z;26.911;129.242;26.8;4.5;2014-11-07T01:40:43.754Z;
2016-07-20T05:49:12.260Z;26.9186;129.7666;15.95;4.8;2016-09-17T01:27:52.040Z;46
2016-06-13T10:44:10.240Z;26.9209;130.2994;10;4.6;2016-08-25T01:22:54.040Z;49
2008-01-09T11:56:51.200Z;26.924;129.95;30;4.6;2014-11-07T01:34:39.381Z;
2016-08-14T02:46:30.840Z;26.9248;128.4059;28.27;4.5;2016-11-15T02:21:48.040Z;22
2016-06-13T04:27:04.000Z;26.9257;130.2544;10;5.3;2016-08-25T01:22:53.040Z;315
2016-06-13T04:55:12.940Z;26.9365;130.1051;10;4.6;2016-08-25T01:22:53.040Z;20
2016-05-27T03:58:43.790Z;26.9392;130.1741;10;4.7;2016-08-10T22:30:22.040Z;71
2010-07-12T08:15:56.280Z;26.948;127.726;64.3;4.5;2015-03-24T01:44:31.844Z;
2016-06-03T08:00:27.910Z;26.951;130.1252;35.23;4.7;2016-08-18T00:36:28.040Z;68
2016-06-08T02:02:22.870Z;26.9539;130.1626;10;4.9;2016-08-18T00:36:34.040Z;86
2016-06-13T16:28:21.840Z;26.9559;130.0919;10;4.7;2016-08-25T01:22:54.040Z;36
2004-07-19T03:53:31.380Z;26.956;129.331;30.3;4.5;2014-11-07T01:22:55.764Z;
2009-04-15T09:43:27.130Z;26.957;129.827;30;4.5;2014-11-07T01:38:47.049Z;
2012-05-26T20:00:26.500Z;26.96;127.257;490.1;4.7;2014-11-07T01:47:53.242Z;169
2016-06-14T15:01:56.850Z;26.9601;130.1941;5.39;5.6;2016-11-10T22:16:30.870Z;
2009-04-15T07:23:37.100Z;26.968;129.848;35;5.1;2016-11-10T02:10:47.304Z;
2014-07-01T09:00:58.800Z;26.9686;129.2966;28.92;4.8;2014-09-26T11:49:51.000Z;61
2011-01-28T22:40:16.570Z;26.992;128.238;33.7;4.9;2014-11-07T01:43:30.854Z;32
2016-05-27T03:44:29.470Z;26.9924;130.1374;10;5.9;2016-11-10T22:15:54.559Z;
2016-05-19T11:50:09.290Z;26.9941;127.0466;107.71;4.8;2016-07-22T19:39:13.040Z;124
2013-01-01T09:19:16.080Z;26.997;127.38;92.8;4.7;2015-03-24T02:18:11.090Z;43
2016-06-13T04:21:43.530Z;27.0107;130.1996;10;5.6;2016-11-10T22:16:28.522Z;
2011-09-14T23:16:20.770Z;27.013;127.241;101;4.7;2014-11-07T01:45:53.720Z;4
2001-06-17T17:26:27.190Z;27.022;129.394;33;4.5;2014-11-07T01:13:04.751Z;17
2017-08-20T17:00:05.080Z;27.0258;127.3298;91.64;4.8;2017-11-22T03:43:25.040Z;92
2014-10-21T20:55:53.650Z;27.0302;127.4559;106.81;4.7;2015-01-15T20:03:37.040Z;56
2013-08-02T12:27:38.490Z;27.0393;130.8682;10;4.6;2013-09-25T17:45:50.000Z;
2002-07-23T09:46:12.960Z;27.059;127.56;99.5;4.5;2014-11-07T01:16:06.236Z;17
2016-02-12T12:59:30.750Z;27.0608;127.5372;89.43;4.5;2016-04-26T23:28:17.040Z;61
2015-11-02T16:43:10.490Z;27.0626;127.6795;94.06;4.9;2016-01-30T02:11:03.040Z;124
2002-05-09T10:03:59.410Z;27.063;127.297;101.2;4.8;2014-11-07T01:15:36.023Z;70
2009-04-14T23:54:49.460Z;27.066;129.823;35;4.8;2014-11-07T01:38:46.957Z;
2001-02-28T17:07:04.900Z;27.091;127.444;98.2;4.7;2014-11-07T01:12:13.416Z;45
2009-05-06T07:17:21.810Z;27.097;129.962;10;4.6;2014-11-07T01:38:55.463Z;
2009-04-20T07:22:37.860Z;27.101;129.9;10;5.1;2016-11-10T02:11:05.577Z;
2009-04-23T16:09:56.660Z;27.133;129.838;40;4.5;2014-11-07T01:38:49.518Z;
2017-11-23T18:02:35.850Z;27.1381;130.3582;11;5.5;2018-02-14T02:01:12.040Z;40
2018-03-12T10:21:26.880Z;27.1435;128.3834;53.86;4.9;2018-06-11T21:53:41.040Z;84
2016-06-08T01:54:26.870Z;27.1615;130.1747;5.39;4.9;2016-08-18T00:36:34.040Z;80
2015-11-27T02:26:02.850Z;27.1821;129.841;51.44;4.7;2016-02-25T22:32:56.040Z;47
2012-05-21T03:18:44.390Z;27.197;127.284;80.1;5.2;2015-03-24T01:47:41.924Z;185
2017-05-15T07:05:36.120Z;27.2254;130.0442;10;5.5;2017-08-05T03:32:07.040Z;44
